track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,will_enjoy
1ko2lVN0vKGUl9zrU0qSlT,0.749,0.497,10,-12.609,0,0.105,0.41,0.0499,0.0504,0.585,95.818,4,0
4wLZ4zPM9c4oe1VV8ejdWV,0.608,0.37,7,-9.207,1,0.0306,0.844,1.87e-05,0.112,0.349,127.631,4,1
4TTV7EcfroSLWzXRY6gLv6,0.609,0.435,11,-7.861,0,0.285,0.522,0.0,0.118,0.552,131.995,4,1
0PV1TFUMTBrDETzW6KQulB,0.59,0.672,1,-11.792,1,0.412,0.125,1.04e-06,0.147,0.688,206.247,4,0
1srD2uc11TcQiOmHHrJp8M,0.604,0.43,3,-10.624,1,0.0356,0.212,0.0,0.159,0.574,126.632,4,1
0zGLlXbHlrAyBN1x6sY0rb,0.421,0.285,2,-9.43,0,0.0293,0.829,1.55e-06,0.233,0.402,85.861,4,0
0WVTQp3SOCuMr08jh1jweV,0.523,0.402,0,-8.233,1,0.0305,0.778,0.0,0.432,0.675,70.863,4,0
3zBhihYUHBmGd2bcQIobrF,0.769,0.367,2,-11.226,1,0.0312,0.684,1.62e-05,0.081,0.535,103.621,4,1
6Rqn2GFlmvmV4w9Ala0I1e,0.399,0.326,7,-9.239,0,0.0386,0.864,0.0,0.191,0.546,79.206,4,0
3HuJDcOWx0gE9Yng2uWY7K,0.461,0.185,2,-18.087,1,0.0502,0.604,0.0,0.121,0.405,95.509,4,0
1kPBT8S2wJFNAyBMnGVZgL,0.477,0.433,11,-6.473,0,0.0247,0.689,0.000195,0.151,0.611,82.52,3,0
1qzHqfvKrZWo6dVHM1dXrj,0.429,0.18,10,-10.694,1,0.0551,0.864,4.4e-06,0.104,0.485,170.645,3,0
3KzgdYUlqV6TOG7JCmx2Wg,0.521,0.516,2,-7.456,0,0.0369,0.723,0.0,0.257,0.569,136.483,4,1
3kXoKlD84c6OmIcOLfrfEs,0.674,0.832,9,-7.892,1,0.0308,0.146,5.06e-06,0.138,0.981,125.996,4,1
7fQ3PYTYdu208fQ3JEm2U7,0.586,0.253,6,-11.93,0,0.0538,0.604,0.0,0.3,0.718,108.168,1,1
5EoYc5wvRYOtkudLfrjsL1,0.487,0.532,0,-7.496,1,0.0322,0.631,0.0,0.184,0.609,70.838,4,0
7EqpEBPOohgk7NnKvBGFWo,0.543,0.473,6,-9.638,1,0.157,0.124,4.04e-06,0.0922,0.519,86.534,4,0
3koCCeSaVUyrRo3N2gHrd8,0.869,0.648,11,-8.698,0,0.0633,0.121,2.17e-05,0.126,0.9,125.035,4,1
3Ti0GdlrotgwsAVBBugv0I,0.848,0.666,0,-6.547,1,0.274,0.173,0.000699,0.129,0.744,96.662,4,1
0KOE1hat4SIer491XKk4Pa,0.212,0.383,10,-10.071,1,0.0347,0.723,0.0,0.299,0.452,173.79,3,0
3NfxSdJnVdon1axzloJgba,0.592,0.355,9,-14.051,1,0.0352,0.478,0.0,0.0585,0.499,133.032,4,1
6ztstiyZL6FXzh4aG46ZPD,0.802,0.756,2,-10.791,0,0.0349,0.0843,0.00765,0.0521,0.963,131.715,4,1
4Hhv2vrOTy89HFRcjU3QOx,0.274,0.348,5,-8.631,1,0.0293,0.547,0.0133,0.334,0.328,87.43,3,1
24lvdbt9pS7DFEjhEWSl49,0.558,0.311,4,-9.582,0,0.0288,0.887,0.0,0.118,0.415,95.978,4,1
3I09LQbHS3NSU46Ly3tPpR,0.535,0.548,1,-6.51,1,0.037,0.533,1.48e-06,0.123,0.477,115.144,3,1
1IqF5PUDUnaykHLs0RWbDO,0.591,0.376,11,-10.832,0,0.0543,0.478,0.0282,0.101,0.308,140.026,4,1
4G3dZN9o3o2X4VKwt4CLts,0.759,0.756,4,-8.145,0,0.266,0.0903,2.36e-06,0.265,0.613,87.059,4,1
7zkLpY72g6lKQbiHDqri1S,0.526,0.299,8,-13.797,1,0.031,0.941,0.097,0.106,0.679,156.848,4,0
7jVBSPLSbL1jKVBDMXlRCx,0.588,0.561,11,-10.438,1,0.0406,0.56,0.0,0.276,0.943,128.6,4,1
5le4sn0iMcnKU56bdmNzso,0.52,0.571,11,-10.326,0,0.036,0.168,5.14e-06,0.17,0.701,161.051,3,0
2sEq2rC3ynYsT49x7utWnd,0.598,0.221,9,-10.484,1,0.0303,0.907,4.19e-05,0.0723,0.274,106.771,4,1
0RgcOUQg4qYAEt9RIdf3oB,0.676,0.692,9,-13.093,1,0.052,0.668,0.00915,0.13,0.799,102.516,4,1
2IdwQxhJn9ZE4zIotcCefR,0.262,0.356,0,-8.031,0,0.0303,0.613,0.0,0.175,0.426,174.176,3,0
2xar08Fq5xra2KKZs5Bw9j,0.556,0.61,9,-4.729,1,0.213,0.833,2.22e-06,0.258,0.665,199.373,4,0
4fIWvT19w9PR0VVBuPYpWA,0.615,0.733,8,-4.808,1,0.0335,0.152,0.0,0.109,0.796,122.58,4,1
648TTtYB0bH0P8Hfy0FmkL,0.349,0.182,5,-13.507,1,0.031,0.92,0.0152,0.143,0.178,136.094,3,1
2grjqo0Frpf2okIBiifQKs,0.697,0.832,9,-7.264,1,0.0298,0.168,0.00131,0.269,0.979,125.926,4,1
4T6HLdP6OcAtqC6tGnQelG,0.686,0.688,6,-4.981,0,0.0254,0.39,1.03e-06,0.0924,0.493,123.125,4,1
1zNXF2svmdlNxfS5XeNUgr,0.745,0.219,5,-11.216,1,0.0276,0.851,1.8e-05,0.0678,0.635,88.609,4,0
29U7stRjqHU6rMiS8BfaI9,0.271,0.165,5,-20.652,1,0.0351,0.729,1.6e-06,0.118,0.203,77.082,4,0
6jGnykaS6TkWp15utXSAeI,0.436,0.141,0,-13.271,1,0.0308,0.902,2.81e-06,0.126,0.146,76.64,3,0
